,Artist_Name,Genre,Followers,Album,Release date
0,Taylor Swift,['pop'],89729802,Speak Now (Taylor's Version),2023-07-07
1,Taylor Swift,['pop'],89729802,Midnights (The Til Dawn Edition),2023-05-26
2,Taylor Swift,['pop'],89729802,Midnights (3am Edition),2022-10-22
3,Taylor Swift,['pop'],89729802,Midnights,2022-10-21
4,Taylor Swift,['pop'],89729802,Red (Taylor's Version),2021-11-12
5,Taylor Swift,['pop'],89729802,Fearless (Taylor's Version),2021-04-09
6,Taylor Swift,['pop'],89729802,evermore (deluxe version),2021-01-07
7,Taylor Swift,['pop'],89729802,evermore,2020-12-11
8,Taylor Swift,['pop'],89729802,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25
9,Taylor Swift,['pop'],89729802,folklore (deluxe version),2020-08-18
10,Taylor Swift,['pop'],89729802,folklore,2020-07-24
11,Taylor Swift,['pop'],89729802,Lover,2019-08-23
12,Taylor Swift,['pop'],89729802,reputation,2017-11-10
13,Taylor Swift,['pop'],89729802,reputation Stadium Tour Surprise Song Playlist,2017-11-09
14,Taylor Swift,['pop'],89729802,1989 (Deluxe),2014-01-01
15,Taylor Swift,['pop'],89729802,1989,2014-01-01
16,Taylor Swift,['pop'],89729802,Red (Deluxe Edition),2012-10-22
17,Taylor Swift,['pop'],89729802,Speak Now World Tour Live,2010-10-25
18,Taylor Swift,['pop'],89729802,Speak Now,2010-10-25
19,Taylor Swift,['pop'],89729802,Speak Now (Deluxe Package),2010-01-01
20,Taylor Swift,['pop'],89729802,Fearless (Platinum Edition),2008-11-11
21,Taylor Swift,['pop'],89729802,Fearless (International Version),2008-11-11
22,Taylor Swift,['pop'],89729802,Live From Clear Channel Stripped 2008,2008-06-28
23,Taylor Swift,['pop'],89729802,Taylor Swift,2006-10-24
24,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Proof,2022-06-10
25,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,BE,2020-11-20
26,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
27,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,MAP OF THE SOUL : 7,2020-02-21
28,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,MAP OF THE SOUL : PERSONA,2019-04-12
29,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Love Yourself 結 'Answer',2018-08-24
30,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Love Yourself 轉 'Tear',2018-05-18
31,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,FACE YOURSELF,2018-04-04
32,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Love Yourself 承 'Her',2017-09-18
33,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,You Never Walk Alone,2017-02-13
34,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Wings,2016-10-10
35,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Youth,2016-09-07
36,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,The Most Beautiful Moment in Life: Young Forever,2016-05-02
37,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,The Most Beautiful Moment in Life Pt.2,2015-11-30
38,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,The Most Beautiful Moment in Life Pt.1,2015-04-29
39,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Wake Up (Standard Edition),2014-12-24
40,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Dark & Wild,2014-08-20
41,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Skool Luv Affair (Special Addition),2014-05-14
42,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,Skool Luv Affair,2014-02-12
43,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,"O!RUL8,2?",2013-09-11
44,BTS,"['k-pop', 'k-pop boy group', 'pop']",70274979,2 Cool 4 Skool,2013-06-12
45,Katy Perry,['pop'],29848512,One Of The Boys (15th Anniversary Edition),2023-06-20
46,Katy Perry,['pop'],29848512,Smile,2020-08-28
47,Katy Perry,['pop'],29848512,Witness (Deluxe),2017-06-09
48,Katy Perry,['pop'],29848512,PRISM (Deluxe),2013-10-18
49,Katy Perry,['pop'],29848512,PRISM,2013-01-01
50,Katy Perry,['pop'],29848512,Teenage Dream: The Complete Confection,2012-03-12
51,Katy Perry,['pop'],29848512,Teenage Dream,2010-08-24
52,Katy Perry,['pop'],29848512,"Unplugged (Live At MTV Unplugged, New York, NY/2009)",2009-11-13
53,Katy Perry,['pop'],29848512,One Of The Boys,2008-06-17
54,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,Autumn Variations (Fan Living Room Sessions),2023-10-02
55,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,Autumn Variations,2023-09-29
56,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,#NAME?,2023-05-05
57,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,#NAME?,2022-05-27
58,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,=,2021-10-29
59,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,2step (The Remixes),2021-10-29
60,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,No.6 Collaborations Project,2019-07-12
61,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,÷ (Deluxe),2017-03-03
62,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,x (Wembley Edition),2015-11-13
63,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,5,2014-06-23
64,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",114807815,x (Deluxe Edition),2014-06-21
